Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,4,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",28,7,9087,609081,0.618
India,2023-24,2023,4,DVC,JHARKHAND,"maithon, dhanbad",,,,,0
India,2023-24,2023,4,Tata Power-DDL,DELHI,new delhi,621,2,3120000,1490000,4.61
India,2023-24,2023,4,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),23,16,52676,1706136,1.759
India,2023-24,2023,4,TSSPDCL,TNG,hyderabad,64,6,44000,172000,0.216
India,2023-24,2023,4,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",2782,15,413578,6361689,6.775
India,2022-23,2022,8,DGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",7,1,15736,480420,0.496
India,2022-23,2022,8,CESC,WB,kolkata,5,11,285,266072,0.266
India,2022-23,2022,8,TANGEDCO,TN,"coimbatore, villupuram, tirunelveli, chennai north, vellore",37,0,42753,0,0.043
India,2022-23,2022,8,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",36,0,5339,0,0.005
India,2022-23,2022,8,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",60,0,1372,0,0.001
India,2022-23,2022,8,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",6,0,1646,0,0.002
India,2022-23,2022,8,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",14,2,26156,24522,0.051
India,2022-23,2022,8,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",48,4,2692,1121308,1.124
India,2022-23,2022,8,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",9,0,496,0,0
India,2022-23,2022,8,Torrent Power,GUJ,ahemdabad,9,5,13829,1541055,1.555
India,2022-23,2022,8,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),11,10,29411,1232470,1.262
India,2022-23,2022,8,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",6,1,2096,142720,0.145
India,2022-23,2022,8,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",5,0,630,0,0.001
India,2022-23,2022,8,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",29,1,30583,0,0.031
India,2022-23,2022,8,BRPL,DELHI,new delhi,1320,1,3462684,705960,4.169
India,2022-23,2022,8,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",11,1,773,0,0.001
India,2022-23,2022,8,Noida Power Company Ltd. (NPCL),UP,greater noida,1,0,2354,0,0.002
India,2022-23,2022,8,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",6,0,1009,0,0.001
India,2022-23,2022,11,HESCOM,KAR,,1,0,274,0,0.00027
India,2022-23,2022,8,DVC,JHARKHAND,"maithon, dhanbad",1,0,0,0,0
India,2022-23,2022,8,Tata Power-DDL,DELHI,new delhi,543,2,2410000,1060000,3.47
India,2022-23,2022,8,BYPL,DELHI,new delhi,982,1,1691718,286170,1.978
India,2022-23,2022,8,TSSPDCL,TNG,hyderabad,27,2,12869,861,0.014
India,2023-24,2023,8,UGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",52,12,35136,1497936,1.533
India,2023-24,2023,8,MPMKVVCL,MP,"bhopal city, gwalior city, betul, guna, harda, itarsi, narmadapuram, bareli, raisen, narsinghgarh, zeerapur, ashta, vidisha",92,1,21720,181266,0.203
India,2023-24,2023,8,MSEDCL,MAH,,2782,17,652263,7178071,7.83
